PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=121 time=1.83 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=121 time=0.554 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=121 time=0.573 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=121 time=0.585 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=121 time=0.586 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=121 time=0.563 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=121 time=0.521 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=121 time=0.556 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=121 time=0.550 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=121 time=0.603 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=121 time=0.598 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=121 time=0.526 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=121 time=0.514 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=121 time=0.556 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=121 time=0.547 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=121 time=0.525 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=121 time=0.558 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=121 time=0.522 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=121 time=0.591 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=121 time=0.524 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=121 time=0.544 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=121 time=0.573 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=121 time=0.503 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=121 time=0.522 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=121 time=0.490 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=121 time=0.483 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=121 time=0.534 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=121 time=0.546 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=121 time=0.541 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=121 time=0.574 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=121 time=0.546 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=121 time=0.529 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=121 time=0.543 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=121 time=0.540 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=121 time=0.529 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=121 time=0.536 ms
