00:39:10.824954 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1346304:1346468, ack 721, win 501, length 164
00:39:10.825063 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1346468:1346632, ack 721, win 501, length 164
00:39:10.825165 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1346632:1346796, ack 721, win 501, length 164
00:39:10.825274 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1346796:1346960, ack 721, win 501, length 164
00:39:10.825384 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1346960:1347124, ack 721, win 501, length 164
00:39:10.825533 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1347124:1347288, ack 721, win 501, length 164
00:39:10.825632 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1347288:1347452, ack 721, win 501, length 164
00:39:10.825716 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1347452:1347616, ack 721, win 501, length 164
00:39:10.825801 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1347616:1347780, ack 721, win 501, length 164
00:39:10.825882 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1347780:1347944, ack 721, win 501, length 164
00:39:10.825960 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1347944:1348108, ack 721, win 501, length 164
00:39:10.826042 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1348108:1348272, ack 721, win 501, length 164
00:39:10.826122 IP 72.140.129.17.64129 > 138.197.139.105.22: Flags [.], ack 1322616, win 2731, length 0
00:39:10.826151 IP 72.140.129.17.64129 > 138.197.139.105.22: Flags [.], ack 1326224, win 2731, length 0
00:39:10.826224 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1348272:1348436, ack 721, win 501, length 164
00:39:10.826277 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1348436:1348680, ack 721, win 501, length 244
00:39:10.826380 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1348680:1348964, ack 721, win 501, length 284
00:39:10.826466 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1348964:1349128, ack 721, win 501, length 164
00:39:10.826551 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1349128:1349292, ack 721, win 501, length 164
00:39:10.826633 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1349292:1349456, ack 721, win 501, length 164
00:39:10.826713 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1349456:1349620, ack 721, win 501, length 164
00:39:10.826800 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1349620:1349784, ack 721, win 501, length 164
00:39:10.826878 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1349784:1349948, ack 721, win 501, length 164
00:39:10.826957 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1349948:1350112, ack 721, win 501, length 164
00:39:10.827041 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1350112:1350276, ack 721, win 501, length 164
00:39:10.827120 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1350276:1350440, ack 721, win 501, length 164
00:39:10.827203 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1350440:1350604, ack 721, win 501, length 164
00:39:10.827282 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1350604:1350768, ack 721, win 501, length 164
00:39:10.827362 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1350768:1350932, ack 721, win 501, length 164
00:39:10.827446 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1350932:1351096, ack 721, win 501, length 164
00:39:10.827527 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1351096:1351260, ack 721, win 501, length 164
00:39:10.827606 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1351260:1351424, ack 721, win 501, length 164
00:39:10.827691 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1351424:1351588, ack 721, win 501, length 164
00:39:10.827771 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1351588:1351752, ack 721, win 501, length 164
00:39:10.827851 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1351752:1351916, ack 721, win 501, length 164
00:39:10.827935 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1351916:1352080, ack 721, win 501, length 164
00:39:10.828015 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1352080:1352244, ack 721, win 501, length 164
00:39:10.828099 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1352244:1352408, ack 721, win 501, length 164
00:39:10.828177 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1352408:1352572, ack 721, win 501, length 164
00:39:10.828255 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1352572:1352736, ack 721, win 501, length 164
00:39:10.828339 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1352736:1352900, ack 721, win 501, length 164
00:39:10.828416 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1352900:1353064, ack 721, win 501, length 164
00:39:10.828497 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1353064:1353228, ack 721, win 501, length 164
00:39:10.828577 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1353228:1353392, ack 721, win 501, length 164
00:39:10.828656 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1353392:1353556, ack 721, win 501, length 164
00:39:10.828738 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1353556:1353720, ack 721, win 501, length 164
00:39:10.828818 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1353720:1353884, ack 721, win 501, length 164
00:39:10.828917 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1353884:1354048, ack 721, win 501, length 164
00:39:10.828998 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1354048:1354212, ack 721, win 501, length 164
00:39:10.829078 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1354212:1354376, ack 721, win 501, length 164
00:39:10.829162 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1354376:1354540, ack 721, win 501, length 164
00:39:10.829241 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1354540:1354704, ack 721, win 501, length 164
00:39:10.829325 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1354704:1354868, ack 721, win 501, length 164
00:39:10.829405 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1354868:1355032, ack 721, win 501, length 164
00:39:10.829490 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1355032:1355196, ack 721, win 501, length 164
00:39:10.829567 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1355196:1355360, ack 721, win 501, length 164
00:39:10.829651 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1355360:1355524, ack 721, win 501, length 164
00:39:10.829729 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1355524:1355688, ack 721, win 501, length 164
00:39:10.829808 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1355688:1355852, ack 721, win 501, length 164
00:39:10.829895 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1355852:1356016, ack 721, win 501, length 164
00:39:10.829973 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1356016:1356180, ack 721, win 501, length 164
00:39:10.830058 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1356180:1356344, ack 721, win 501, length 164
00:39:10.830146 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1356344:1356508, ack 721, win 501, length 164
00:39:10.830229 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1356508:1356672, ack 721, win 501, length 164
00:39:10.830323 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1356672:1356836, ack 721, win 501, length 164
00:39:10.830410 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1356836:1357000, ack 721, win 501, length 164
00:39:10.830488 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357000:1357164, ack 721, win 501, length 164
00:39:10.830567 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357164:1357328, ack 721, win 501, length 164
00:39:10.830645 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357328:1357492, ack 721, win 501, length 164
00:39:10.830729 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357492:1357656, ack 721, win 501, length 164
00:39:10.830814 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357656:1357820, ack 721, win 501, length 164
00:39:10.830893 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357820:1357984, ack 721, win 501, length 164
00:39:10.830978 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1357984:1358148, ack 721, win 501, length 164
00:39:10.831060 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1358148:1358312, ack 721, win 501, length 164
00:39:10.831139 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1358312:1358476, ack 721, win 501, length 164
00:39:10.831222 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1358476:1358640, ack 721, win 501, length 164
00:39:10.831301 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1358640:1358804, ack 721, win 501, length 164
00:39:10.831391 IP 138.197.139.105.22 > 72.140.129.17.64129: Flags [P.], seq 1358804:1358968, ack 721, win 501, length 164
